raw_read_datetime,electricity_consumption,ec_est,gas_consumption,gc_est,read_datetime,read_date,read_time,read_weekday,is_weekday,temperature,gust_mph,direction,avg_mph,humidity_perc,baro_mb,trend_mb,daily_rain_mm,monthly_rain_mm,solar_power,uv,weather
14-09-2018 00:30:00,0.06,N,0.0,N,2018-09-14 00:30:00,2018-09-14,00:30:00,4,True,12.3,2.0,WNW,1.8,84.0,1023.5,-0.1,0.0,2.8,0.0,0.0,night_time/dry
14-09-2018 01:00:00,0.03,N,0.0,N,2018-09-14 01:00:00,2018-09-14,01:00:00,4,True,12.4,0.0,WNW,0.0,83.0,1023.2,-0.3,0.0,2.8,0.0,0.0,night_time/dry
14-09-2018 01:30:00,0.06,N,0.0,N,2018-09-14 01:30:00,2018-09-14,01:30:00,4,True,12.4,1.0,SSW,0.3,84.0,1023.1,-0.4,0.0,2.8,0.0,0.0,night_time/dry
14-09-2018 02:00:00,0.03,N,0.0,N,2018-09-14 02:00:00,2018-09-14,02:00:00,4,True,12.6,6.0,SSW,2.5,86.0,1023.1,-0.1,0.0,2.8,0.0,0.0,night_time/dry
14-09-2018 02:30:00,0.05,N,0.0,N,2018-09-14 02:30:00,2018-09-14,02:30:00,4,True,12.6,6.0,SSW,2.5,86.0,1023.1,-0.1,0.0,2.8,0.0,0.0,night_time/dry
14-09-2018 03:00:00,0.04,N,0.0,N,2018-09-14 03:00:00,2018-09-14,03:00:00,4,True,12.2,5.0,SW,2.5,89.0,1022.3,-0.8,0.0,2.8,0.0,0.0,night_time/dry
14-09-2018 03:30:00,0.05,N,0.0,N,2018-09-14 03:30:00,2018-09-14,03:30:00,4,True,12.2,4.0,SW,1.4,90.0,1022.4,-0.3,0.0,2.8,0.0,0.0,night_time/dry
14-09-2018 04:00:00,0.05,N,0.0,N,2018-09-14 04:00:00,2018-09-14,04:00:00,4,True,12.0,0.0,SW,0.3,91.0,1022.3,-0.1,0.8,3.6,0.0,0.0,night_time/raining
14-09-2018 04:30:00,0.04,N,0.0,N,2018-09-14 04:30:00,2018-09-14,04:30:00,4,True,11.8,2.0,S,0.7,92.0,1021.8,-0.5,0.8,3.6,0.0,0.0,night_time/dry
14-09-2018 05:00:00,0.05,N,0.0,N,2018-09-14 05:00:00,2018-09-14,05:00:00,4,True,11.8,4.0,S,1.4,93.0,1021.6,-0.6,0.8,3.6,0.0,0.0,night_time/dry
14-09-2018 05:30:00,0.04,N,0.0,N,2018-09-14 05:30:00,2018-09-14,05:30:00,4,True,11.7,4.0,SSW,1.5,93.0,1021.6,-0.2,1.4,4.2,0.0,0.0,night_time/raining_lightly
14-09-2018 06:00:00,0.05,N,0.0,N,2018-09-14 06:00:00,2018-09-14,06:00:00,4,True,11.6,4.0,SW,3.2,93.0,1021.5,-0.2,1.6,4.4,0.0,0.0,night_time/raining_lightly
14-09-2018 06:30:00,0.04,N,0.36,N,2018-09-14 06:30:00,2018-09-14,06:30:00,4,True,11.6,4.0,SSW,2.5,93.0,1021.5,-0.1,1.8,4.6,0.0,0.0,dawn/rain_has_stopped
14-09-2018 07:00:00,0.16,N,1.07,N,2018-09-14 07:00:00,2018-09-14,07:00:00,4,True,11.5,4.0,SSW,1.5,94.0,1021.5,0.1,2.0,4.8,5.0,0.0,dawn/raining_lightly
14-09-2018 07:30:00,0.06,N,1.56,N,2018-09-14 07:30:00,2018-09-14,07:30:00,4,True,11.4,4.0,SW,1.5,94.0,1021.4,0.0,2.0,4.8,51.0,0.0,sunny/rain_has_stopped
14-09-2018 08:00:00,0.03,N,0.0,N,2018-09-14 08:00:00,2018-09-14,08:00:00,4,True,11.4,4.0,SW,1.8,94.0,1021.5,0.0,2.6,5.4,26.0,0.0,mainly_cloudy/raining_lightly
14-09-2018 08:30:00,0.03,N,0.0,N,2018-09-14 08:30:00,2018-09-14,08:30:00,4,True,11.7,4.0,W,0.3,94.0,1021.6,0.3,2.8,5.6,69.0,0.0,overcast/raining_lightly
14-09-2018 09:00:00,0.03,N,0.0,N,2018-09-14 09:00:00,2018-09-14,09:00:00,4,True,12.1,6.0,SSW,3.2,94.0,1021.6,0.1,3.0,5.8,141.0,0.6,partly_cloudy/rain_has_stopped
14-09-2018 09:30:00,0.03,N,0.0,N,2018-09-14 09:30:00,2018-09-14,09:30:00,4,True,12.3,6.0,SSW,2.9,94.0,1021.6,-0.1,3.0,5.8,127.0,0.7,mainly_cloudy/dry
